atom_index_0based,atom_index_1based,element,initial_distance_from_vacancy_A,final_distance_from_vacancy_A,radial_change_A,displacement_A,dx_A,dy_A,dz_A
76,77,Ga,1.9467101595964402,1.852034182948438,-0.09467597664800231,0.09479137970024315,0.08203815060000018,-0.047363049099999936,-0.0034480561999996042
79,80,Ga,1.9467101595964413,1.8529656411939421,-0.0937445184024992,0.09386967453777458,-0.08122344029999931,-0.0469161279999996,-0.003625669199999462
75,76,Ga,1.9467093903561978,1.8529970823792037,-0.09371230797699415,0.09383762516673844,2.0586100000816177e-05,0.09376745079999999,-0.003628311400000365
40,41,In,3.096726000000001,3.1789576441943557,0.08223164419435447,0.08223180214763133,-0.00014144639999885426,8.161049999999258e-05,-0.08223163999999879
13,14,Zn,2.547845,2.6286940128495355,0.08084901284953538,0.08084919403801302,-0.00015083949999878673,8.645800000002349e-05,0.08084900709999943
159,160,O,2.7945215417605938,2.7444705355422574,-0.05005100621833636,0.06480557697796885,-0.0557476233000012,-0.03213231460000064,0.00771230590000133
155,156,O,2.7945210058951075,2.7444653886853048,-0.05005561720980278,0.06480555117848716,-4.309629999935116e-05,0.06434413050000029,0.007719486800000228
156,157,O,2.794521541760593,2.7450642218016705,-0.04945731995892233,0.06435133379984281,0.05537259029999992,-0.031968323999999874,0.007279880899999608
182,183,O,2.779898388780783,2.724455715649597,-0.05544267313118567,0.06306128038695781,-3.0240199999781447e-05,0.060172303899999835,-0.018868439600000775
186,187,O,2.779898927464989,2.724469229212715,-0.05542969825227395,0.06305676695750814,-0.052126736400000824,-0.030061051699999387,-0.018849201100001146
183,184,O,2.779898927464988,2.725603563831549,-0.05429536363343912,0.06228268222486582,0.05170737649999978,-0.029855028400000188,-0.017724474600000706
120,121,O,4.550083999999998,4.59550846200666,0.04542446200666195,0.045424572858562454,8.662150000088244e-05,-5.16531000000555e-05,0.0454244609000024
48,49,In,5.955156351229242,5.976219090879444,0.02106273965020211,0.021067738584065243,4.0849100000934536e-05,-0.006452059500000131,0.02005539499999934
52,53,In,5.955156602689888,5.976217176622303,0.021060573932414783,0.021065547407385025,0.005608289500000625,0.0031910900000000453,0.020052962900002295
49,50,In,5.955156602689888,5.976004953034066,0.020848350344178534,0.020851827076208623,-0.00558909559999986,0.00322794070000055,0.01982778610000242
115,116,O,4.606197214699453,4.618666781211878,0.012469566512424812,0.015063596685410165,0.00010244659999957169,0.012935563000000134,-0.007718332699999148
111,112,O,4.606196905903394,4.618665452147562,0.012468546244168266,0.015063445365778114,-0.01114947929999996,-0.0065609294000001095,-0.007716910200000307
114,115,O,4.606196905903395,4.6184955840621935,0.012298678158798815,0.014921108941189708,0.011136744499999324,-0.0064338448000002685,-0.007564261700000587
