atom_index_0based,atom_index_1based,element,initial_distance_from_vacancy_A,final_distance_from_vacancy_A,radial_change_A,displacement_A,dx_A,dy_A,dz_A
183,184,O,2.779898927464988,2.645992847416222,-0.13390608004876592,0.13413104592878614,0.07652581390000009,-0.04418226999999905,-0.10091017939999844
186,187,O,2.779898927464989,2.6459955852777743,-0.13390334218721467,0.13412855859758202,-0.07652373430000022,-0.04417613439999955,-0.10091113649999756
182,183,O,2.779898388780783,2.6459951633609067,-0.1339032254198762,0.13412845858324327,-3.428599999445725e-06,0.08835926449999996,-0.10091126679999884
159,160,O,2.7945215417605938,2.6746238888273455,-0.11989765293324828,0.12192098369809849,-0.08582705439999957,-0.049551635699999125,0.07101463509999952
155,156,O,2.7945210058951075,2.674623479226103,-0.11989752666900433,0.1219208410330726,-7.51699999398947e-07,0.09910405349999993,0.07101463269999965
156,157,O,2.794521541760593,2.6746262575188813,-0.11989528424171159,0.12191848375697012,0.08582482810000021,-0.049550875499999335,0.07101356420000032
75,76,Ga,1.9467093903561978,2.063868351861867,0.11715896150566918,0.11764612397007204,-1.3042099999555079e-05,-0.11699209979999989,-0.012387852900000605
79,80,Ga,1.9467101595964413,2.063869021306592,0.11715886171015066,0.11764602216107747,0.10131130619999978,0.05850767140000019,-0.012387822800000682
76,77,Ga,1.9467101595964402,2.0638414897513764,0.11713133015493615,0.11761860115896822,-0.10129406050000006,0.05848248539999959,-0.012387394700000455
40,41,In,3.096726000000001,3.184125219800045,0.08739921980004395,0.08739921980162536,5.067000016307357e-07,1.6600000007558904e-07,-0.08739921979999891
13,14,Zn,2.547845,2.6338297429004136,0.08598474290041347,0.0859847429126823,1.4172000016539152e-06,-4.1550000012768607e-07,0.08598474289999924
48,49,In,5.955156351229242,5.989142847335699,0.033986496106456876,0.0345562352837006,-1.4474999997151489e-06,-0.005185495900000215,0.034164953200001597
49,50,In,5.955156602689888,5.989143158791438,0.033986556101550214,0.03455617177056728,-0.004491176199999919,0.002593378400000486,0.03416478789999897
52,53,In,5.955156602689888,5.989142760706652,0.033986158016763746,0.03455587722631658,0.004489885300000267,0.002594338000000344,0.03416458680000185
112,113,O,5.708285518378438,5.674533488945991,-0.03375202943244737,0.03438572555382751,0.024087233400000053,-0.013906628099999544,0.020218531199999938
109,110,O,5.708285642413807,5.6745373054919295,-0.033748336921877176,0.03438163551652916,-0.02408645230000102,-0.013899387199999473,0.02021748530000024
110,111,O,5.70828515105281,5.674536834094422,-0.033748316958388536,0.034381518267059104,-5.9743000000722635e-06,0.027808784599999997,0.020217820400000128
90,91,O,3.371567533570253,3.402453145140444,0.030885611570190985,0.0311965692058522,-0.011816290499999646,-0.02883818840000009,0.0014000352999993019
97,98,O,3.3715683995956547,3.4024539234437676,0.03088552384811294,0.031196472961631614,0.019066375200001526,0.02465224879999929,0.001399961099999795
93,94,O,3.371567533570254,3.402438693158259,0.030871159588004904,0.03118266294508078,0.01180677339999928,-0.028826991100000098,0.0014011260999990225
96,97,O,3.371568000000001,3.4024388188252552,0.030870818825254442,0.031182424019183398,0.030867951300000116,0.0041892156999995935,0.0014012929999981578
91,92,O,3.3715679999999995,3.4024381390537353,0.030870139053735812,0.03118212174770801,-0.030867268100000123,0.004192077199999927,0.0014010586999981466
94,95,O,3.371568399595654,3.4024382156347603,0.030869816039106546,0.031181735429135184,-0.01906349410000008,0.024635765700000454,0.0014010229999995216
120,121,O,4.550083999999998,4.576281663500042,0.026197663500044044,0.026197663507694258,6.33500000290392e-07,4.219999978721966e-08,0.026197663500000766
185,186,O,4.369817596944979,4.352847806158542,-0.01696979078643679,0.023714391519135278,-0.006614885299999314,0.0038188831999999753,-0.022450652299998906
179,180,O,4.369817596944979,4.352847493097147,-0.016970103847832263,0.02371421768853839,0.006614918199999982,0.003819897099999888,-0.022450286500000582
187,188,O,4.369818453485796,4.352848320958129,-0.01697013252766677,0.023714187084390572,-8.061999997432262e-07,-0.007638696500000021,-0.022450233499997405
11,12,Zn,6.371336061998656,6.3799175878893735,0.008581525890717145,0.021384169804244634,4.20199999875184e-07,-7.110000032940141e-08,0.021384169799997958
123,124,O,5.663102964425067,5.644849403798157,-0.01825356062690986,0.019223331401612725,-0.012760957199999739,0.005539285499999668,-0.013266904599999888
119,120,O,5.663102686732865,5.644849270118057,-0.01825341661480806,0.019223041202925208,-0.011177138900000879,0.008281880800000014,-0.013266775399999745
117,118,O,5.663102964425066,5.644850280248839,-0.018252684176227163,0.019221797166022927,0.012760489299999985,0.0055368279999999,-0.01326615749999713
121,122,O,5.663103202327147,5.64485047914316,-0.018252723183986852,0.01922165564229709,0.0015857124000005314,-0.013819005500000477,-0.013266222099998655
116,117,O,5.663102686732864,5.644856125986751,-0.018246560746113083,0.019215444304019173,0.011171649100000479,0.008274998999999983,-0.013264687999999117
124,125,O,5.663103202327147,5.644856737408481,-0.018246464918665772,0.019215280428139726,-0.0015806165999999976,-0.013812188800000538,-0.013264693500001942
7,8,Zn,6.476372220214726,6.494113538568333,0.017741318353606594,0.017860673894599693,0.002912805700000438,-0.001682024700000401,-0.017541095399999068
4,5,Zn,6.476372220214726,6.494112634271192,0.017740414056466314,0.017859879009689814,-0.002911949399999793,-0.0016812540000004374,-0.017540502099999366
