atom_index_0based,atom_index_1based,element,initial_distance_from_vacancy_A,final_distance_from_vacancy_A,radial_change_A,displacement_A,dx_A,dy_A,dz_A,initial_x_A,initial_y_A,initial_z_A,final_x_A,final_y_A,final_z_A
142,143,Ga,1.9467101595964404,2.1704457781560413,0.2237356185596009,0.2239477208276702,0.1936368902000007,0.11176084420000099,-0.012917047700000442,6.743136,7.786302999999999,11.851022,6.936772890200001,7.8980638442,11.8381049523
138,139,Ga,1.9467101595964404,2.170409460291312,0.22369930069487154,0.2239113801444771,-0.19357549689999964,0.11179459749999963,-0.012915151099999847,3.3715680000000003,7.786302999999999,11.851022,3.1779925031000005,7.898097597499999,11.8381068489
137,138,Ga,1.9467103902871636,2.1703879040376672,0.2236775137505036,0.2238897556007814,1.8402700000363925e-05,-0.2235167547999993,-0.012918306699999701,5.057352,4.866439,11.851022,5.0573704027,4.6429222452,11.8381036933
328,329,O,2.779899089013305,2.6169786811745426,-0.1629204078387625,0.16547978139434427,-1.0968899999574955e-05,0.09410663129999995,-0.1361157590999994,5.057352,4.866439,13.858507,5.0573410311,4.9605456313,13.7223912409
333,334,O,2.77989892746499,2.6170473106880854,-0.16285161677690452,0.16542875948348976,-0.08140534179999977,-0.04698775789999973,-0.13613227169999967,6.743136,7.786302999999999,13.858507,6.6617306582,7.739315242099999,13.7223747283
329,330,O,2.77989892746499,2.617071290189366,-0.16282763727562388,0.16538966494304544,0.08139922169999946,-0.04708564839999992,-0.13605458350000105,3.3715680000000003,7.786302999999999,13.858507,3.4529672217,7.739217351599999,13.7224524165
280,281,O,2.794521702463589,2.6448247831670306,-0.14969691929655848,0.14970757039831672,-7.555329999977406e-05,0.10551987300000033,0.10619749210000026,5.057352,4.866439,9.868854,5.0572764467,4.971958873,9.9750514921
285,286,O,2.794521541760592,2.644889792556006,-0.14963174920458577,0.14964108621916475,-0.09126593740000051,-0.05271447019999851,0.1062269644999995,6.743136,7.786302999999999,9.868854,6.6518700626,7.7335885298,9.9750809645
281,282,O,2.7945215417605915,2.6449295254239513,-0.1495920163366402,0.14960169313586158,0.0912958045999994,-0.05264812619999991,0.1061787052999993,3.3715680000000003,7.786302999999999,9.868854,3.4628638046,7.733654873799999,9.9750327053
173,174,O,3.371568,3.442768332713367,0.07120033271336723,0.07132508040873642,0.0711976960000009,0.004259139199999943,-0.00012211829999996234,8.428920000000002,6.813015,11.873896,8.500117696000002,6.817274139199999,11.8737738817
170,171,O,3.3715683995956547,3.4427647873943767,0.07119638779872206,0.0713215246597606,-0.039291351400000174,0.05952258139999962,-0.00010903409999906392,3.371568,9.732879,11.873896,3.3322766486000006,9.7924015814,11.8737869659
174,175,O,3.3715683995956547,3.4427564627480303,0.07118806315237558,0.07131609142936204,0.039329628800000065,0.059490799199998154,-0.00010002880000026896,6.743136,9.732879,11.873896,6.782465628800001,9.792369799199998,11.8737959712
169,170,O,3.3715683995956547,3.4427431421840304,0.07117474258837575,0.07129787407698036,0.03192294380000057,-0.06375178899999977,-0.0001480078999997136,6.743136,3.8931509999999996,11.873896,6.7750589438,3.8293992109999997,11.8737479921
165,166,O,3.3715683995956547,3.4427313345202895,0.07116293492463477,0.07129135745976543,-0.031838739099999964,-0.06378664160000008,-0.00012920669999959595,3.3715680000000003,3.8931509999999996,11.873896,3.3397292609,3.8293643583999994,11.8737667933
166,167,O,3.371568,3.44271381462865,0.07114581462864988,0.07127238040922466,-0.0711431415000009,0.004288556899999492,-0.00011792549999897231,1.6857840000000004,6.813015,11.873896,1.6146408585,6.817303556899999,11.8737780745
74,75,In,3.0967259999999994,3.1622981607331866,0.06557216073318717,0.06557216230044462,2.5631999994791182e-06,-1.4259000000129642e-05,-0.06557216070000114,5.057352,6.813015,8.77717,5.0573545632,6.813000741,8.7115978393
26,27,Zn,2.5478450000000015,2.6123119110626227,0.06446691106262126,0.06446692539411711,2.278769999983254e-05,3.708489999961528e-05,0.0644669106999985,5.057352,6.813015,14.421741,5.057374787700001,6.8130520849,14.4862079107
200,201,O,5.708285151052809,5.653980372214118,-0.05430477883869145,0.05509410101290568,5.4279200000454525e-05,0.0438054054,0.033413223099999695,5.057352,2.9198639999999996,7.699223,5.0574062792,2.9636694053999997,7.7326362231
194,195,O,5.708285688633358,5.6540059735157095,-0.05427971511764884,0.055061804109760235,-0.03788349630000095,-0.02189496819999916,0.033425339899998754,-5.057352,8.759591,7.699223,-5.095235496300001,8.7376960318,7.732648339899999
202,203,O,5.708285518378437,5.653993868761518,-0.05429164961691946,0.05505585801898471,0.03779325310000012,-0.021912412300000777,0.03350617419999946,1.6857840000000004,8.759591,7.699223,1.7235772531000002,8.737678587699998,7.7327291742
134,135,Ga,5.150206015561319,5.200236789254826,0.05003077369350706,0.05004263061870895,-0.0489342512000002,0.010473172100000323,0.00012885999999983933,0.0,7.786302999999999,11.851022,-0.04893425120000039,7.7967761720999995,11.85115086
132,133,Ga,5.150205768243925,5.200230295627315,0.050024527383389916,0.050035302483200976,-0.015419459499999948,-0.047600109500000085,3.6590999999039406e-05,3.3715680000000003,1.946576,11.851022,3.3561485405000004,1.8989758905,11.851058591
131,132,Ga,5.150206640255457,5.20023055055599,0.050023910300532215,0.0500352130379035,0.03352096489999941,0.03714645350000055,9.191460000028432e-05,-5.057352,10.706166999999999,11.851022,-5.023831035100001,10.743313453499999,11.8511139146
139,140,Ga,5.150206451551626,5.200198984026805,0.0499925324751791,0.05000469760367094,-0.03352556589999919,0.03710110650000045,0.00011878549999984961,1.685784,10.706166999999999,11.851022,1.6522584341000002,10.7432681065,11.8511407855
130,131,Ga,5.150206298617083,5.200196571567318,0.04999027295023506,0.0500002691390121,0.048908366499999995,0.010392017600001262,6.760529999910302e-05,-3.371568,7.786302999999999,11.851022,-3.3226596335,7.7966950176,11.8510896053
136,137,Ga,5.150205768243925,5.2001912023734045,0.04998543412947942,0.04999569139558114,0.015456906699998697,-0.04754617070000007,0.00012184069999929936,6.743136000000001,1.946576,11.851022,6.758592906699999,1.8990298293,11.8511438407
89,90,In,5.955156678101507,5.983178737559992,0.028022059458485238,0.028561294833550917,-2.4711699999939267e-05,-0.003926267399999513,0.02829012860000121,5.057352,4.866439,17.501927,5.0573272883,4.8625127326,17.5302171286
94,95,In,5.955156602689889,5.9831769005333015,0.028020297843412756,0.028555565462670886,0.003405810200000833,0.0019915998000004783,0.028281695600000555,6.743136,7.786302999999999,17.501927,6.746541810200002,7.7882945997999995,17.5302086956
90,91,In,5.955156602689889,5.98313922558557,0.02798262289568143,0.02852662810406423,-0.0033748415999997226,0.0019419794000007577,0.028259647400002558,3.3715680000000003,7.786302999999999,17.501927,3.3681931584,7.7882449794,17.5301866474
221,222,O,5.663102964425069,5.637967260779993,-0.025135703645076113,0.026573995519159718,-0.017685487800000458,0.00791260449999985,-0.01818767300000024,8.428920000000002,6.813015,16.42398,8.4112345122,6.8209276045,16.405792327
213,214,O,5.663102964425069,5.638083078717329,-0.025019885707740386,0.02644580984255799,0.017555909100000412,0.007882379699999897,-0.018139432300000164,1.6857840000000004,6.813015,16.42398,1.7033399091000003,6.8208973797,16.4058405677
218,219,O,5.663103202327149,5.638081054991591,-0.025022147335557854,0.0264166670632023,0.0020301068000002868,-0.0190852719000004,-0.01815134600000024,3.371568,9.732879,16.42398,3.3735981068,9.713793728099999,16.405828654
212,213,O,5.663103202327149,5.638122878570286,-0.02498032375686332,0.026404486703403725,0.01558077510000001,0.011237079999999814,-0.018115308399998274,3.3715680000000003,3.8931509999999996,16.42398,3.3871487751,3.9043880799999995,16.4058646916
216,217,O,5.663103202327149,5.6381266088559485,-0.024976593471200736,0.026390690211519807,-0.015550812199999767,0.0112746679,-0.018097586399999734,6.743136,3.8931509999999996,16.42398,6.727585187800001,3.9044256678999996,16.4058824136
222,223,O,5.663103202327149,5.638134282821204,-0.024968919505945486,0.026380195626356007,-0.0018763512999997057,-0.01901827660000061,-0.018185136300002576,6.743136,9.732879,16.42398,6.741259648700001,9.7138607234,16.4057948637
324,325,O,4.3698180424041695,4.346559627416069,-0.023258414988100107,0.0263067114308027,0.013142997500000045,0.0075739357000000635,-0.02149279370000053,1.685784,4.866439,13.858507,1.6989269975,4.8740129357,13.8370142063
334,335,O,4.369818453485797,4.346621484790806,-0.023196968694991327,0.02623377596269188,1.0764600000261193e-05,-0.015132295999999889,-0.021429524100000086,5.057352,10.706166999999999,13.858507,5.0573627646,10.691034704,13.837077475900001
332,333,O,4.3698180424041695,4.3466925360319415,-0.02312550637222799,0.026169164018812276,-0.013037469800001571,0.007558405099999937,-0.021394392700000646,8.42892,4.866439,13.858507,8.4158825302,4.873997405099999,13.8371126073
64,65,In,7.4202152348991195,7.4277842330392785,0.007568998140158989,0.01821220100795961,-0.0006670000000002517,0.00043946659999994747,-0.018194676300000753,1.6857840000000002,0.973288,8.77717,1.685117,0.9737274666,8.7589753237
72,73,In,7.4202152348991195,12.086854049407153,4.666638814508033,0.018169561880878128,0.0007160546999996573,0.000477432599999857,-0.018149168100001865,8.428920000000002,0.973288,8.77717,8.429636054700001,0.9737654325999999,8.7590208319
66,67,In,7.4202152956347565,7.427811182088578,0.007595886453821699,0.018128172779011895,-2.2204900000250384e-05,-0.0008380982999999055,-0.01810877540000044,-1.685784,6.813015,8.77717,-1.6858062049000004,6.8121769017,8.7590612246
206,207,O,4.606197214699453,4.590372947861415,-0.01582426683803817,0.0172280123105814,-4.243490000061656e-05,-0.0005267826000001063,0.017219904400000114,5.057352000000001,8.759591,7.699223,5.0573095651,8.759064217399999,7.7164429044
201,202,O,4.606197117202975,4.5904397538658195,-0.015757363337155716,0.01718460767103188,0.0003639315000000505,0.0002849706000000584,0.017178390099998633,3.371568,5.839726999999999,7.699223,3.3719319315,5.840011970599999,7.716401390099999
205,206,O,4.606197117202975,4.590465805005015,-0.015731312197960534,0.017158863871127913,-0.00040986009999992225,0.00019143050000014762,0.017152899999999898,6.743136,5.839726999999999,7.699223,6.7427261399,5.839918430499999,7.7163759
20,21,Zn,6.371336247487964,9.277657657900981,2.9063214104130175,0.016640642709555058,5.264939999946507e-05,-0.00591823910000005,0.015552577399999594,5.057352,0.973288,14.421741,5.0574046494,0.9673697608999999,14.4372935774
19,20,Zn,6.371336758484525,6.383057210892228,0.011720452407702808,0.016620993024813617,0.005231645100000168,0.002969478499998647,0.015494176199998275,-3.371568,9.732879,14.421741,-3.3663363548999996,9.7358484785,14.4372351762
23,24,Zn,9.277058647450678,9.277524168459724,0.0004655210090458439,0.016569273101293965,-0.005208531900000465,0.00299338930000038,0.01544187899999817,0.0,9.732879,14.421741,-0.005208531899999258,9.7358723893,14.437182879
70,71,In,4.5779015605078275,4.583268130315701,0.0053665698078733115,0.015394791800733883,-0.010599204800000716,-0.01055490880000028,0.003640106100000612,1.6857840000000004,6.813015,8.77717,1.6751847952000003,6.8024600911999995,8.7808101061
30,31,Zn,4.225989224152022,4.237268365928283,0.011279141776260992,0.015363713208856867,0.013345759000000354,-0.007541949500000137,0.0010263517999985158,8.428920000000002,6.813015,14.421741,8.442265759000001,6.8054730505,14.4227673518
79,80,In,4.577901854805103,4.583383518806206,0.005481664001103503,0.015360620339547737,-0.0038396473999992645,0.014461356899999736,0.0034748987999993,6.743136,9.732879,8.77717,6.7392963526,9.7473403569,8.7806448988
78,79,In,4.5779015605078275,4.583327873797854,0.005426313290026741,0.015358499939912847,0.010581605599999915,-0.01055631120000092,0.0035323415999997023,8.428920000000002,6.813015,8.77717,8.4395016056,6.802458688799999,8.7807023416
73,74,In,4.577901854805103,4.583212141599046,0.005310286793942964,0.015357058399798338,0.014418168799999036,-0.0038308144999997466,0.003644243600000246,6.743136,3.8931509999999996,8.77717,6.7575541688,3.8893201855,8.7808142436
75,76,In,4.577901854805103,4.583306579297892,0.005404724492788837,0.01533514084511178,0.003833413199999097,0.01441749400000014,0.003550683700000362,3.371568,9.732879,8.77717,3.3754014132,9.747296494,8.7807206837
25,26,Zn,4.22598954295642,4.237250586922005,0.011261043965585138,0.01533452840332396,0.013210107599999119,-0.007712231899999816,0.001078099099999648,6.743136,3.8931509999999996,14.421741,6.756346107599999,3.8854387680999998,14.4228190991
31,32,Zn,4.22598954295642,4.237209481028468,0.01121993807204813,0.015334169424803156,8.176800000029953e-05,0.01530138449999862,0.0009988484999968268,6.743136,9.732879,14.421741,6.743217768,9.7481803845,14.422739848499997
69,70,In,4.577901854805103,4.583222087268102,0.005320232462999286,0.015326017929933239,-0.014410648499999732,-0.0037893622999996095,0.0035861913999997606,3.3715680000000003,3.8931509999999996,8.77717,3.3571573515000006,3.8893616377,8.7807561914
21,22,Zn,4.22598954295642,4.23725988431413,0.011270341357710656,0.015310167689388306,-0.013142908099999805,-0.007780923399999493,0.0010594490999993765,3.3715680000000003,3.8931509999999996,14.421741,3.3584250919,3.8853700766,14.4228004491
22,23,Zn,4.225989224152022,4.237221906730682,0.011232682578660835,0.015304898925743556,-0.013286535300000409,-0.007526720000001183,0.0010278116999973697,1.6857840000000004,6.813015,14.421741,1.6724974647000002,6.805488279999999,14.422768811699997
27,28,Zn,4.22598954295642,4.237149276695233,0.01115973373881296,0.015206409899873445,-0.0001021232999993231,0.015170752699999535,0.0010357293999994398,3.371568,9.732879,14.421741,3.3714658767000003,9.7480497527,14.4227767294
18,19,Zn,7.208425435455443,7.213725294838819,0.00529985938337596,0.015123933891584422,2.297670000074711e-05,-0.0018041047000003313,0.015015926699997895,-1.685784,6.813015,14.421741,-1.6857610233,6.8112108952999995,14.4367569267
87,88,In,9.607354080807875,9.616151287882799,0.008797207074923818,0.015061672630276315,-3.881840000087249e-05,-1.6008000000447823e-05,0.015061614100001766,-1.685784,10.706166999999999,17.501927,-1.685822818400001,10.706150992,17.5169886141
16,17,Zn,7.2084253729353405,7.213764998691772,0.005339625756431765,0.01504848035236515,-0.001663808000000225,0.0008999398999999088,0.014929119599997964,1.6857840000000002,0.973288,14.421741,1.684120192,0.9741879399,14.436670119599999
24,25,Zn,7.2084253729353405,11.955571635305937,4.747146262370596,0.01502017566990832,0.0015320440000004282,0.0009164950999998475,0.014913703599999727,8.428920000000002,0.973288,14.421741,8.430452044,0.9742044950999998,14.4366547036
313,314,O,6.740145000000001,6.72574349832114,-0.014401501678860562,0.014401511573635698,1.6861399999495566e-05,2.8919999935022453e-07,0.01440150170000047,5.057352,6.813015,5.133751,5.0573688614,6.813015289199999,5.1481525017
286,287,O,4.379135293281996,4.366880248524962,-0.012255044757034206,0.01273996010524034,-1.4094600000904949e-05,-0.009304468799998812,0.008702484999999423,5.057352,10.706166999999999,9.868854,5.0573379054,10.6968625312,9.877556485
276,277,O,4.379134883074966,4.36690882412057,-0.012226058954396102,0.012736285330811227,0.007968692200000488,0.004675957000000168,0.008766318199999248,1.685784,4.866439,9.868854,1.6937526922,4.871114957,9.8776203182
284,285,O,4.379134883074967,4.366964934800455,-0.012169948274511455,0.012675922975269437,-0.007960431599999842,0.004611136400000092,0.008720548899999457,8.42892,4.866439,9.868854,8.4209595684,4.871050136399999,9.8775745489
310,311,O,11.180422962716547,8.906181996509034,-2.274240966207513,0.011971346815019065,0.005798594299999487,-0.0033941676999999027,0.00990803080000047,0.0,9.732879,5.133751,0.005798594300000737,9.7294848323,5.1436590308
306,307,O,8.91807000236128,8.906226072714116,-0.01184392964716352,0.01192437518445402,-0.005825476099998946,-0.003333006900000893,0.009856247600000234,-3.371568,9.732879,5.133751,-3.3773934761,9.729545993099999,5.1436072476
307,308,O,8.918069637290012,8.906285340099862,-0.011784297190150284,0.011865730462688715,-3.485599998972501e-06,0.006668501999999898,0.009814612999999998,5.057352,0.973288,5.133751,5.057348514400001,0.979956502,5.143565613
77,78,In,9.442564001545895,9.440643121183747,-0.00192088036214777,0.010830950134834446,0.006352802300000461,-0.003645371700000109,-0.007978887700000388,10.114704,3.8931509999999996,8.77717,10.1210568023,3.8895056282999994,8.7691911123
