site,radius_A,atoms_inside,max_displacement_inside_A,mean_displacement_inside_A,max_displacement_outside_A,mean_displacement_outside_A
O001,3.0,10,0.2239476853062688,0.1681464729335552,0.0713248362598612,0.0088092396487215
O001,4.0,20,0.2239476853062688,0.1102829341165736,0.0550941498930901,0.0074247902629796
O001,5.0,42,0.2239476853062688,0.0609754074607242,0.0550941498930901,0.0067696262860738
O001,6.0,78,0.2239476853062688,0.0432729968648432,0.0182123780378522,0.0045493146292306
O001,7.0,109,0.2239476853062688,0.0330776627699753,0.0182123780378522,0.0041548777577112
O002,3.0,7,0.3218379858115058,0.1749317269324971,0.0908297418425053,0.0102320435763124
O002,4.0,22,0.3218379858115058,0.0697433825813985,0.0908297418425053,0.0097325174593201
O002,5.0,41,0.3218379858115058,0.0576670410967873,0.0668813634281167,0.0075383799203731
O002,6.0,77,0.3218379858115058,0.0403496620004232,0.0504475180394578,0.0057120480911836
O002,7.0,116,0.3218379858115058,0.0304129304693255,0.0504475180394578,0.0048069974754164
O003,3.0,10,0.358132080824982,0.1855035743861222,0.2131115402609714,0.0122030761470444
O003,4.0,23,0.358132080824982,0.1029947403998437,0.1327470131738826,0.0110646040463277
O003,5.0,38,0.358132080824982,0.0827004552009167,0.0614596363388261,0.0090182430774943
O003,6.0,77,0.358132080824982,0.0533040068183542,0.0614596363388261,0.0066535928939433
O003,7.0,113,0.358132080824982,0.0401304278623199,0.0571391048428065,0.0057941312757139
O004,3.0,7,0.3894732242331596,0.3218622461432044,0.161828672658895,0.0128666103527579
O004,4.0,27,0.3894732242331596,0.1137291159885774,0.1402290837523752,0.0110473954123878
O004,5.0,39,0.3894732242331596,0.0830316510644825,0.1402290837523752,0.0109292213756494
O004,6.0,75,0.3894732242331596,0.0616574184195356,0.0577603876415579,0.0071114520663149
O004,7.0,109,0.3894732242331596,0.0463786924778438,0.0577603876415579,0.0062743647726639
